2020-03-31 19:54:14 : [jagent] : Config parsed for configuration
2020-03-31 19:54:14 : [jagent] : SendPost thread Started:0
2020-03-31 19:54:14 : [jagent] : SendPost thread Started:1
2020-03-31 19:54:14 : [jagent] : SendPost thread Started:2
2020-03-31 19:54:14 : [jagent] : Setting delay to: 30 Seconds
2020-03-31 19:54:14 : [jagent] : Data sent to server: size(345)
2020-03-31 19:54:14 : [jagent] : Data sent to server: size(1772)
2020-03-31 19:54:14 : [jagent] : Data sent to server: size(269)
2020-03-31 19:54:14 : [jagent] : Data sent to server: size(177)
2020-03-31 19:54:14 : [jagent] : Data sent to server: size(232)
2020-03-31 19:54:14 : [jagent] : Data sent to server: size(367)
2020-03-31 19:54:44 : [jagent] : Data sent to server: size(213)
2020-03-31 19:54:44 : [jagent] : Data sent to server: size(171)
2020-03-31 19:54:44 : [jagent] : Data sent to server: size(437)
2020-03-31 19:55:14 : [jagent] : Data sent to server: size(213)
2020-03-31 19:55:14 : [jagent] : Data sent to server: size(172)
2020-03-31 19:55:14 : [jagent] : Data sent to server: size(436)
